track_id,title,album,artist,reviewid
TRDXCSH128F92ED4A1,Bootylicious,#1's,Destiny's Child,2290
TRXDDAA128E0782E34,I Don't Have The Map,100 Broken Windows,Idlewild,4063
TRYUHJV128F1497975,One For The Shareholder (Album Version),11:11,Maria Taylor,8290
TRSOIHS128F93583AA,Mid-Life Krysis,12 Memories,Travis,8146
TROQTSU128F42ACAF2,Face Me,12 Songs,Neil Diamond,2630
TRXUNCF12903CE13C5,C-Musik,120 Days,120 Days,9451
TROYQLT128F14850D2,Swamp Song,13,Blur,831
TRVMAGY128E0784B6A,Signs Of Love,18,Moby,5348
TRYDYIA128F4243D80,Unexpected Delight (Feat. Laura Darlington),1983,Flying Lotus,9740
TRYLBDZ128F425B434,Infect,1986-1992,Ruins,6871
TRKGYPF128F4265FCF,Tonight,21st Century Toy,Electronicat,2893
TRLGMIK128E0788AE3,Why Don't You Do It For Me?,22-20s,22-20s,8296
TRVTBWS128EF342432,Dr Strangeluv,23,Blonde Redhead,10102
TRYFLYX128F42626FB,Outpatient,24 Hour Revenge Therapy,Jawbreaker,19890
TRSBQMS128F145529E,The Sadness,29,Ryan Adams,44
TRXEKKB128F93268F1,New Trouble,3,Slumber Party,7255
TROETWK128F4264EB5,Scout's Honor,3/5,Les Savy Fav,11773
TRQJPQJ128F1475043,You're My Favourite,39 Minutes Of Bliss (In An Otherwise Meaningless World),Caesars,1713
TREZMFQ128F1464A3F,Sort It Out,39 Minutes of Bliss (In An Otherwise Meaningless World),Caesars,1713
TRKMQKM128F4273376,Third parabolic mix,4 parabolic mixes,Philip Jeck,6523
TRFFCRE128F4298E8C,45:33,45:33,LCD Soundsystem,9539
TRODHDR128F92DCDF3,The Reasons Why,4:13 Dream,The Cure,12380
TRKZBUY128F9308416,We'll Lean That Way Forever,55:12,Gregor Samsa,3691
TRKINCE128F4260D0C,Murder,59.59,Sian Alice Group,11316
TROPRJW128F1482481,Little Monsters,5:55,Charlotte Gainsbourg,9407
TROMMBJ12903CC6883,Going Home,60 Watt Kid,60 Watt Kid,11131
TRYPJIQ12903CFA064,Jet Age,604,Ladytron,4633
TROHDFD128F148DAC1,Coconut Skins,9,Damien Rice,9641
TRKDWDN128F931BCB9,92982.4,92982,William Basinski,22277
TRKYSEV12903CF56AF,Shick Shaving,99 Cents,Chicks On Speed,1442
TRYAXZB12903CD9BF6,9669,A Balloon Called Moaning,The Joy Formidable,14170
TRYHYCZ128F93357CF,Love In Vain,A Brief History Of Love,The Big Pink,13469
TRVNVIA128F14A6643,Death Love Depression Love Death,A Brighter Beat,Malcolm Middleton,10951
TRKIBIF128F4277E1E,Darling_ Be Here,A Certain Feeling,Bodies Of Water,12021
TRYWSWT128F42792A6,Postcard of A Painting,A Certain Trigger,Maximo Park,5646
TRYAMOZ12903D0C3F3,Woah Billy!,A Coming Of Age,Lucky Soul,14118
TRXVXWT128E07833A0,I Only Have Eyes For You,A Foreign Sound,Caetano Veloso,8429
TRYAMCP128E078BE06,Wouldn't Have It Any Other Way,A Grand Don't Come For Free,The Streets,7533
TRYJNFC128F428AD05,Product Placement,A Healthy Distrust,Sage Francis,3181
TRKUSFK128F9315469,Where Are You Now?,A History of Sport Fishing,Thee More Shallows,7984
TRXXHSG128F148249C,Lost In Boston (Album Version),A Hundred Miles Off,The Walkmen,9017
TRULOVL128F92DCF53,If There's a Rocket Tie Me To It,A Hundred Million Suns,Snow Patrol,12389
TREKFYL128F92D12E3,1981,A New Chance,The Tough Alliance,10668
TROSMLW12903CE421B,On Form And Growth,A New Machine For Living,Turing Machine,8190
TRKDXHH128F4289AB8,Preface: Painless,A Picture Of The Three Of Us At The Gate To The Garden Of Eden,These United States,12274
TRXJRJO128F930F701,Massive Nights,A Positive Rage,The Hold Steady,12895
